Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar,abbreviation,abbreviation_for_term,plural,plurality_of_term,misspelling,misspelling_for_term,initialism,initialism_for_term,synonym,synonym_for_term,attribute,property,process,matter,role,measure
924,ichthyotoxin,Noun,Any chemical compound that is toxic to fish,,"2009, Craig S. Tucker John A. Hargreaves, Environmental Best Management Practices for Aquaculture, ISBN, page 277:This dinoflagellate, apparently widely distributed in temperate coastal waters, produces ichthyotoxins that have killed net-pen farmed salmonids in Norway, Scotland, and Ireland (Smayda 2006). 2012, Dean Martin, Marine Pharmacognosy: Action of Marine Biotoxins at the cellular level, ISBN:While such a pretreatment increased the sensitivity ten to forty times, the damage to the gills induced by brief exposure to ichthyotoxin was reversible. 2013, Solomon Kadis, Alex Ciegler, Samuel J. Ajl, Algal and Fungal Toxins: A Comprehensive Treatise, ISBN, page 83:The rate of the ichthyotoxic effect on immersed minnows within the temperature range of 1030C increases directly with the temperature (from 3 hours to 30 minutes), but the final titer of the ichthyotoxin is identical at both high and low temperatures.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True,False,False
4418,immunocytochemical,Noun,Any chemical compound that is active in immunocytochemistry,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True,False,False
10510,indide,Noun,Any chemical compound of indium and a more electropositive element., chemistry,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True,False,False
14247,iniparib,Noun,"The chemical compound 4-iodo-3-nitrobenzamide, once proposed as a drug for cancer treatment.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True,False,False
24712,iodosilane,Noun,"A chemical compound of silicon, hydrogen, and iodine.", chemistry,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True,False,False
24805,ionic compound,Noun,A chemical compound consisting of cations and anions held together by electrostatic forces, chemistry,"[1], Lumen: When writing the formula for the ionic compound, the cation comes first, followed by the anion, both with numeric subscripts to indicate the number of atoms of each.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True,False,False
25324,iron(II) oxide,Noun,"The chemical compound FeO, iron oxide where iron has a valence of +2.", chemistry,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True,False,False
25327,iron(III) oxide,Noun,"The chemical compound Fe2O3, iron oxide where iron has a valence of +3.", chemistry,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True,False,False
27898,isovanilloid,Noun,Any chemical compound possessing an isovanillyl group; they are isomers of the vanilloids.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True,False,False
22723,dianisyldiethynylsilane,Noun,"A chemical compound, C18H16O2Si.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True,False,False
22983,diarsenate,Noun,Any chemical compound containing two arsenate groups in each molecule or unit cell, chemistry,"1884, National cyclopaedia, The national encyclopdia. Libr. ed, page 460: Arsenite of silver affords a fine yellow colour. Salts which contain arsenic acid are termed arsenates. The arsenate of ammonia forms large rhombic crystals which may easily be converted into octahedral crystals of diarsenate of ammonia. 1994, Russian Journal of Inorganic Chemistry: With an increase in the arsenic content in the system, sodium arsenate, magnesium diarsenate, and, finally, iron diarsenate are formed in that order. Hence, the investigated arsenates can be arranged in the following sequence [...]",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True,False,False
22988,diarsenite,Noun,Any chemical compound containing two arsenite groups in each molecule or unit cell., chemistry,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True,False,False
23469,dibenzothiazepine,Noun,Any chemical compound that is a derivative of thiazepine with two benzene rings., chemistry,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True,False,False
23740,dichlorophene,Noun,"A chemical compound used as a fungicide, germicide, and antimicrobial agent.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True,False,False
23742,dichlorophenolindophenol,Noun,A blue chemical compound used as a redox dye., chemistry,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True,False,False
24360,dicyclohexylphenylphosphine,Noun,A chemical compound with molecular formula C18H27P, chemistry,"1996, Advances in Molecular Structure Research (volume 2, page 201) Schraml and co-workers, looking at dicyclohexylphenylphosphine, have shown that when one-bond 13C connectivities cannot completely solve a structure, then a long-range INADEQUATE experiment may provide the requisite data. 2009, Inorganic Syntheses (volume 18, page 172) The oily crude dicyclohexylphenylphosphine crystallizes on removal of the last traces of solvent and may be recrystallized by slow cooling of a hot, oxygen-free ethanol solution of the phosphine []",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True,False,False
26125,dihydrochrysene,Noun,"A chemical compound, C18H14.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True,False,False
26920,dimercaptosuccinic acid,Noun,"A chemical compound (C4H6O4S2), used as a tracer to obtain scintigrams of the kidney"," chemistry, medicine",Abbreviated as DMSA.,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True,False,False
